"","name","q","summary","b","I2","I2b","I2w","vb","lb","ub","n","sigma2_1","sigma2_2","QEE","QEp","pval","M_label"
"1",NA,"Residual film",TRUE,NA,"I² (%)","(between studies) I² (%)","(within studies) I² (%)",NA,NA,NA,"n","σ² 1","σ² 2",NA,NA,NA,"Response ratio"
"2",NA,"49-225",FALSE,0.963537105427135,"0","0","0",1.00022531980365,0.935603999441495,0.99230417365585,"10","1.13661036654553e-12","1.14762202611411e-12","<0",0.883857196094549,0.0133360527775069,"0.96  [ 0.94 , 0.99 ]"
"3",NA,"225-600",FALSE,0.955070550674456,"78.22","29.64","48.58",1.00041794145878,0.917562452973497,0.994111903565387,"20","0.0022830510149868","0.00374130986390809","77.8186181115635",2.00935877003913e-12,0.024521288738623,"0.96  [ 0.92 , 0.99 ]"
"4",NA,"600-2700",FALSE,0.925465126065616,"95.95","58.45","37.5",1.00272509428315,0.835517387040136,1.02509620128648,"24","0.0235859759463787","0.0151326607426871","474.736080661484",1.04417874215097e-90,0.137589800891961,"0.93  [ 0.84 , 1.03 ]"
"5","Yield",NA,TRUE,0.948492577053778,"91.42","36.84","54.58",1.00067113443681,0.901542457515141,0.997887743640746,"54","0.00745330616830673","0.0110430066845805","553.223947625115",6.06735002705676e-95,0.0411913748399885,"0.95  [ 0.9 , 1 ]"
"6",NA,"49-225",FALSE,0.976182611971755,"87.4","71.05","16.35",1.00066060168294,0.928232885033258,1.02660927799585,"9","0.00221358259422858","0.00050927428623245","43.0715373178726",2.54210217796657e-08,0.348225417365285,"0.98  [ 0.93 , 1.03 ]"
"7",NA,"225-600",FALSE,0.92696051329342,"79.29","79.29","0",1.00061251748823,0.883075823748421,0.973026064237485,"6","0.00199091881638223","5.8740969479359e-13","17.1769208343132",0.00048456173933254,0.00217671184699458,"0.93  [ 0.88 , 0.97 ]"
"8",NA,"600-2700",FALSE,0.812327579802027,"93.71","0","93.71",1.00115282734528,0.760043434573035,0.868208403481196,"6","2.68842220634168e-12","0.00622982781886583","91.3813454565778",3.05711346038503e-19,9.15692944649639e-10,"0.81  [ 0.76 , 0.87 ]"
"9","Plant height",NA,TRUE,0.91687703718021,"96.03","14.16","81.87",1.00078614520514,0.867859769344167,0.968662831258605,"21","0.00143459992989154","0.00829588880289461","388.699571036244",3.1994868471339e-74,0.00196328754624012,"0.92  [ 0.87 , 0.97 ]"
"10",NA,"49-225",FALSE,0.965298916513023,"66.28","0.84","65.44",1.00062640254205,0.91909679501364,1.01382357470563,"10","3.18012934357959e-05","0.00248243404774922","14.768547064277",0.0046826282594273,0.15814520729218,"0.97  [ 0.92 , 1.01 ]"
"11",NA,"225-600",FALSE,0.842486691680189,"90.89","78.8","12.09",1.00689368798855,0.716160946660707,0.991095408047295,"7","0.0227412806084538","0.00348801619962591","72.2474940207252",8.21892867893434e-15,0.0386515548251573,"0.84  [ 0.72 , 0.99 ]"
"12",NA,"600-2700",FALSE,0.71512708239781,"97.81","69.69","28.12",1.01412120802813,0.567005201942594,0.901943654532082,"7","0.0422389659501655","0.0170405668990836","230.934615755757",2.53396428463105e-48,0.00463313199908576,"0.72  [ 0.57 , 0.9 ]"
"13","Root weight",NA,TRUE,0.85818917897453,"97.51","21.99","75.52",1.00434469528155,0.754288482469238,0.976401846277712,"24","0.0105164696139958","0.0361167427175722","492.01525430342",2.64018412124067e-94,0.0201973424595747,"0.86  [ 0.75 , 0.98 ]"
"14",NA,"49-225",FALSE,0.970240006161277,"90.99","73.21","17.78",1.001387423093,0.901954235730915,1.04369560257454,"14","0.00712895002428798","0.00173128728317942","89.2400075413627",6.09868767227201e-16,0.41714906412989,"0.97  [ 0.9 , 1.04 ]"
"15",NA,"225-600",FALSE,0.951426950175537,"96.57","96.57","0",1.00641482878507,0.813409867304129,1.11286238083201,"8","0.042346179194367","1.44657269433822e-12","211.130853884457",1.64477094505249e-43,0.533494865204823,"0.95  [ 0.81 , 1.11 ]"
"16",NA,"600-2700",FALSE,0.720663669579366,"0","0","0",1.00195230737606,0.660907517618339,0.785822691990495,"4","0","9.4846228559955e-12","<0",0.478642234638664,1.19334151953889e-13,"0.72  [ 0.66 , 0.79 ]"
"17","SW evaporation capacity",NA,TRUE,0.947552569910349,"95.85","66.6","29.25",1.00305169400213,0.850387630419807,1.05581953526354,"26","0.0180746901464665","0.00793745538440975","333.017130210047",1.14302072765115e-60,0.329086023059354,"0.95  [ 0.85 , 1.06 ]"
"18",NA,"49-225",FALSE,0.871733251742329,"94.76","48.33","46.43",1.00433872173525,0.766260631145151,0.991723744253416,"18","0.0188460875176268","0.0181055346733802","202.971414929494",2.67307542075442e-37,0.0369541044992651,"0.87  [ 0.77 , 0.99 ]"
"19",NA,"225-600",FALSE,0.706623273787049,"99.04","96.57","2.47",1.02519080608087,0.518713955684665,0.96260462165215,"6","0.119980208615363","0.00306357030077984","221.251956926368",6.79930984651712e-47,0.027693900327498,"0.71  [ 0.52 , 0.96 ]"
"20",NA,"600-2700",FALSE,0.474957644973106,"99.52","85.9","13.62",1.19593441381642,0.207299293009585,1.08820807463134,"6","0.495526127769937","0.0785973224797778","701.832907462671",1.63613916197788e-150,0.078386921153725,"0.47  [ 0.21 , 1.09 ]"
"21","SW infiltration rate",NA,TRUE,0.7440457205595,"99.24","41.4","57.84",1.01527419777417,0.58451955102445,0.947109524929728,"30","0.0774903459463724","0.108266991184329","2768.62528827621",0,0.0163358807817686,"0.74  [ 0.58 , 0.95 ]"
"22",NA,"225-600",FALSE,0.886194044343566,"0","0","0",1.00031914981056,0.855703926890577,0.917770574085997,"5","9.61820171490322e-13","1.26862215802741e-12","<0",0.441775164347491,1.34663796725274e-11,"0.89  [ 0.86 , 0.92 ]"
"23",NA,"600-2700",FALSE,0.877986686614427,"65.22","0","65.22",1.00367055714045,0.779767282656129,0.988577796245041,"3","0","0.00716510816498055","3.8230588596992",0.0543924767429859,0.0315746560431244,"0.88  [ 0.78 , 0.99 ]"
"24","SOM",NA,TRUE,0.899073722222206,"52.08","0","52.08",1.00046565993672,0.861845130357461,0.937910454579266,"9","4.22558982894959e-12","0.00200035250620594","9.34844761629454",0.0266784610592601,8.18910440579922e-07,"0.9  [ 0.86 , 0.94 ]"
"25",NA,"225-600",FALSE,0.785296613525897,"96.19","0","96.19",1.00554576366116,0.67878535879669,0.908521026894973,"5","2.08603809149866e-11","0.026407481770178","110.659334910789",7.37787470010034e-24,0.00115398410403779,"0.79  [ 0.68 , 0.91 ]"
"26",NA,"600-2700",FALSE,0.528257599976865,"95.28","0","95.28",1.03059354624631,0.375908572041878,0.742350966932004,"3","0","0.0859647546338486","48.4414107669114",1.11374770531643e-11,0.000236708399220835,"0.53  [ 0.38 , 0.74 ]"
"27","Olsen-P",NA,TRUE,0.71780405725275,"98.77","9.01","89.76",1.01463148321892,0.566784111132605,0.909063353203214,"9","0.00887162154258589","0.0883418230466313","418.186418745432",4.66102012488388e-87,0.00594083755462899,"0.72  [ 0.57 , 0.91 ]"
