,Recovered,Not recovered
0,45.6,9.75
1,61.05,10.5
2,0.6,16.8
3,0.6,22.1
4,17.4,43.9
5,4.35,43.4
6,0.45,30.2
7,0.15,38.9
8,13.65,34.5
9,4.35,43.1
10,5.4,27.5
11,4.95,21.1
12,4.95,19.4
13,4.8,22.8
14,4.65,14.0
15,11.25,7.6796
16,9.3,3.82
17,7.05,28.3438
18,10.95,26.6246
19,14.1,29.3592
20,4.2,78.5386
21,7.05,15.9488
22,4.35,8.7162
23,4.35,5.8316
24,8.1,1.8412
25,2.7,28.3836
26,2.85,24.1354
27,7.2,30.045
28,84.6,41.55
29,3.0,67.8
30,1.65,67.95
31,1.2,29.41
32,6.6,7.869
33,11.55,38.389
34,5.25,29.001
35,37.95,21.47
36,48.45,6.637
37,1.05,11.064
38,11.4,14.999
39,0.75,22.541
40,24.75,7.888
41,25.05,5.975
42,62.85,8.279
43,21.6,11.432
44,1.8,65.4
45,2.7,12.45
46,34.5,0.15
47,19.05,37.7022885105
48,20.1,55.5369776835
49,1.2,34.220971104
50,24.45,59.0467952325
51,20.55,34.463772318
52,26.25,54.2997714975
53,18.3,52.6671633345
54,5.25,46.937434686
55,13.65,34.015770078
56,18.45,27.431537157
57,2.55,64.963724817
58,2.25,82.1701108485
59,2.4,76.713783567
60,10.8,20.5594027965
61,11.55,52.885664427
62,11.1,15.8849
63,12.3,13.546
64,10.35,11.6272
65,20.85,16.7375
66,18.3,16.6623
67,21.75,6.7655
68,5.85,17.2453
69,6.6,19.1252
70,15.0,24.6725
71,4.8,12.7046
72,14.25,28.4604
73,36.45,31.2574
74,12.3,31.962
75,16.5,21.5845
76,8.25,37.3434
77,58.95,25.05
78,42.45,14.25
79,27.0,25.512
80,26.85,55.65
81,36.75,17.7755
82,77.1,29.293
83,33.15,31.0445
84,4.8,32.6985
85,4.65,39.3525
86,1.8,68.0875
87,22.8,27.819
88,16.5,16.3295
89,30.15,15.3885
90,23.85,15.9845
91,29.25,13.6165
92,40.2,24.651
93,5.4,11.569
94,6.0,6.0
95,5.4,1.95
96,23.55,52.5
97,25.95,66.75
98,9.15,37.05
99,27.75,16.05
100,6.75,36.5249166666667
101,3.3,61.2248888888889
102,0.75,55.0007222222222
103,54.15,62.0405555555556
104,0.6,9.09583333333333
105,2.25,40.1178888888889
106,7.95,67.0785
107,59.1,44.4307777777778
108,2.25,49.759
109,30.615,37.623
110,208.05,9.6
111,37.95,1.0749
112,130.05,0.7479
113,150.15,7.9788
114,4.65,3.1409
115,7.95,6.6741
116,13.35,4.6466
117,1.35,2.4599
118,4.35,2.8167
119,10.95,3.8544
120,0.6,4.2919
121,0.3,7.7843
122,0.45,2.5549
123,1.35,6.8991
124,0.45,5.2313
125,1.5,3.9043
126,0.75,2.8922
127,0.45,1.9256
128,1.95,1.9749
129,0.3,5.9715
130,0.3,1.0956
131,1.65,3.6664
132,17.85,3.2895
133,15.75,1.6864
134,3.0,4.0078
135,1.8,2.056
136,10.8,0.9885
137,6.9,1.0749
138,45.45,2.2955
139,19.35,1.3716
140,3.3,2.7485
141,116.55,4.35
142,96.75,3.6
143,108.75,1.74099999999999
144,99.15,1.47509999999999
145,145.35,2.60099999999999
146,144.9,2.37799999999999
147,144.0,11.7117
148,93.45,15.6387
149,123.75,9.9095
150,97.65,8.1363
151,110.1,7.9529
152,106.35,11.0684
153,4.8,11.4396
154,5.85,10.3949
155,3.6,8.4959
156,3.0,8.013
157,6.9,12.1912
158,2.4,12.1476
159,3.0,17.72
160,3.45,20.7
161,3.45,16.1
162,3.15,10.5
163,7.35,15.15
164,1.65,27.6
165,1.65,2.0359
166,1.2,8.4498
167,1.5,6.6673
168,2.1,86.4
169,1.65,160.05
170,2.1,18.1
171,1.05,29.0
172,1.95,13.7
173,1.65,45.3
174,1.2,5.5
175,1.65,19.7
176,1.2,12.2
177,1.2,6.4
178,2.55,9.7
179,12.45,11.6
180,13.8,35.4
181,12.15,33.7
182,12.3,19.5
183,9.3,12.9
184,11.4,5.6
185,11.25,10.8
186,8.1,58.8
187,9.6,3.2
188,10.5,15.4
189,10.5,18.7
190,10.5,8.4
191,10.2,17.1
192,10.65,37.0
193,11.85,13.4
194,3.6,17.1
195,15.9,15.4
196,7.5,14.2
197,11.7,41.9
198,16.8,122.4
199,4.65,6.0
200,4.05,1.4
201,0.3,9.1
202,4.95,140.1
203,8.4,76.05
204,13.35,120.0
205,18.0,25.2
206,15.15,19.0
207,8.7,21.9
208,0.45,33.4
209,5.4,26.1
210,134.1,17.2
211,12.3,47.0
212,3.6,20.2
213,0.15,25.3
214,7.05,1.5
215,1.8,14.1
216,3.9,28.5
217,1.2,48.3
218,0.9,0.9
219,2.7,58.6
220,1.2,18.6
221,8.4,11.8
222,1.35,14.7
223,1.2,15.9
224,6.0,33.5
225,6.15,7.3
226,1.05,11.3
227,1.95,31.0
228,47.25,31.1
229,43.95,0.6
230,85.05,70.2
231,14.7,20.9
232,6.75,12.2
233,16.5,26.4
234,10.05,5.9
235,7.2,15.8
236,1.5,29.9
237,52.05,31.2
238,1.2,9.8
239,13.5,26.1
240,0.3,18.7
241,7.8,17.5
242,4.5,40.9
243,19.8,6.6
244,35.25,110.3
245,13.35,4.8
246,,21.4
247,,10.5
248,,16.5
249,,30.8
250,,37.26
251,,32.89
252,,36.89
253,,23.38
254,,30.5
255,,6.46
256,,4.24
257,,20.35
258,,1.931
259,,4.54
260,,16.61
261,,23.85
262,,2.62
263,,2.25
264,,5.68
265,,7.02
266,,1.38
267,,1.84
268,,1.39
269,,6.61
270,,34.3
271,,19.55
272,,31.05
273,,17.25
274,,26.0
275,,22.2
276,,22.6
277,,27.28
278,,35.7
279,,31.28
280,,73.3105
281,,63.2035
282,,83.17
283,,79.8185
284,,53.102
285,,64.2755
286,,69.7195
287,,78.5355
288,,71.7745
289,,74.1515
290,,73.879
291,,78.1485
292,,75.7265
293,,59.496
294,,78.948
295,,74.1365
296,,69.2325
297,,62.3575
298,,66.4305
299,,90.863
300,,76.4225
301,,87.2775
302,,73.4575
303,,71.5025
304,,150.471
305,,291.373
306,,166.2095
307,,130.526
308,,107.9065
309,,118.582
310,,249.72
311,,95.7645
312,,247.5615
313,,232.16
314,,142.462
315,,50.767
316,,147.814
317,,286.316
318,,163.255
319,,129.6575
320,,103.603
321,,107.664
322,,218.6575
323,,85.289
324,,246.6005
325,,277.1085
326,,133.909
327,,49.1745
328,,152.084
329,,289.028
330,,160.565
331,,135.803
332,,112.648
333,,219.222
334,,82.289
335,,110.016
336,,243.455
337,,317.348
338,,157.942
339,,51.297
340,,130.7775
341,,92.8223333333333
342,,94.686
343,,78.8445
344,,78.1288333333333
345,,82.492
346,,63.2998333333333
347,,51.8151666666667
348,,59.2986666666667
349,,51.7295
350,,97.1251666666667
351,,108.9515
352,,72.5933333333333
353,,96.4163333333333
354,,140.816833333333
355,,90.4251666666667
356,,101.607666666667
357,,111.772
358,,131.099666666667
359,,118.597166666667
360,,115.413666666667
361,,112.575333333333
362,,141.142166666667
363,,133.966833333333
364,,123.084833333333
365,,101.502833333333
366,,54.75
367,,16.35
368,,59.8
369,,9.7
370,,29.4333333333333
371,,28.0666666666667
372,,63.7333333333333
373,,24.1666666666667
374,,78.4666666666667
375,,30.2
376,,80.9833333333333
377,,38.7
378,,28.9
379,,17.873
380,,22.92
381,,28.452
382,,30.325
383,,33.256
384,,65.144
385,,47.676
386,,34.832
387,,60.9883333333333
388,,52.9633333333333
389,,30.6666666666667
390,,66.8166666666667
391,,68.7233333333333
392,,73.2333333333333
393,,67.31
394,,67.165
395,,47.6433333333333
396,,63.565
397,,67.5466666666667
398,,62.7383333333333
399,,42.7861666666667
400,,18.061
401,,20.6976666666667
402,,76.1713333333333
403,,12.1738
404,,4.8726
405,,7.0013
406,,8.1409
407,,18.2012
408,,4.9846
409,,51.2305
410,,3.4811
411,,9.8092
412,,19.2029
413,,17.0772
414,,38.283
415,,7.1927
416,,5.04
417,,0.7302
418,,5.5133
419,,17.6014
420,,5.7
421,,5.1
422,,14.25
423,,19.05
424,,1.8665
425,,2.3389
426,,2.3583
427,,56.4077
428,,2.4624
429,,22.5871
430,,27.8852
431,,72.5421
432,,13.8037
433,,11.0606
434,,4.6296
435,,0.22875
436,,0.252
437,,0.9055
438,,0.3185
439,,1.246875
440,,1.13175
441,,0.846
442,,0.586125
443,,0.472875
444,,0.487125
445,,2.7
446,,40.796
447,,6.9084
448,,5.4668
449,,32.1359
450,,5.816
451,,10.4652
452,,8.1
453,,11.1
454,,14.5995
455,,19.6278
456,,10.8862
457,,12.3101
458,,9.6575
459,,10.1855
460,,30.115
461,,63.1863
462,,15.456
463,,8.8235
464,,8.7766
465,,18.5346
466,,6.45
467,,10.8
468,,25.35
469,,42.6028
470,,38.7861
471,,32.195
472,,16.3115
473,,23.8058
474,,59.598
